# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  833
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
1 12  8 1345.5  0.291
2 12  8 1767.52 0.334
1 13  8 1253.55 0.258
2 13  8 2272.24 0.37
1 14  8 2377.79 0.424
2 14  8 2248.35 0.242
1 15  8 1387.41 0.253
2 15  8 1642.91 0.237
1 16  8 1386.69 0.282
2 16  8 763.19  0.235
1 17  8 3096.86 0.309
2 17  8 916.24  0.418
1 18  8 2953.06 0.228
2 18  8 1863.85 0.364
1 19  8 4770.41 0.445
2 19  8 1977.64 0.229
1 20  8 6262.03 0.355
2 20  8 1535.83 0.522
1 21  8 9948.38 0.288
2 21  8 1797.51 0.325
1 22  8 6785.61 0.332
2 22  8 3909.59 0.405
1 23  8 10188.17  0.374
2 23  8 4498.06 0.326
1 24  8 11020.36  0.293
2 24  8 2067.35 0.252
1 25  8 13211.61  0.364
2 25  8 5718.79 0.319
1 26  8 8722.58 0.37
2 26  8 1549.75 0.388
1 27  8 6146.76 0.399
2 27  8 827.48  0.24
1 28  8 5121.37 0.324
2 28  8 1287.8  0.415
1 29  8 3902.84 0.368
2 29  8 906.59  0.279
1 30  8 3927.88 0.352
2 30  8 1133.69 0.227
1 31  8 8051.12 0.481
2 31  8 6700.44 0.54
3 32  8 7095.67 0.285
4 32  8 1781.77 0.343
3 33  8 6025.14 0.419
4 33  8 1874.95 0.234
3 34  8 7270.68 0.363
4 34  8 1261.54 0.231
3 35  8 8637.23 0.383
4 35  8 2301.61 0.243
3 36  8 3005.39 0.326
4 36  8 2089.74 0.341
3 37  8 993.99  0.324
4 37  8 3125.05 0.4
3 38  8 4696.96 0.425
4 38  8 781.8 0.188
3 39  8 1848.36 0.249
4 39  8 1536.38 0.265
3 40  8 1082.89 0.342
4 40  8 2493.89 0.365
3 41  8 1625.78 0.303
4 41  8 883.52  0.389
3 42  8 1949.05 0.491
4 42  8 596.8 0.242
1 1 3 528.89  0.499
1 2 3 175.82  0.358
2 2 3 111.87  0.577
1 3 3 148.21  0.678
2 3 3 180.48  0.738
1 4 3 9.96  1
2 4 3 482.83  0.521
1 5 3 82.89 0.693
2 5 3 1.99  1
1 6 3 14.14 1
2 6 3 190.48  0.485
1 7 3 22.86 0.912
1 8 3 22.21 0.656
2 8 3 4769.83 0.75
1 9 3 58.25 0.671
2 9 3 36.87 0.473
1 10  3 19.55 0.631
2 10  3 121.16  0.919
1 11  3 21.87 0.496
1 12  3 6.62  0.741
2 12  3 11.2  1
1 13  3 34.87 0.361
1 14  3 2580.71 0.548
2 14  3 82.55 0.479
1 15  3 1360.94 0.43
2 15  3 25.85 0.655
1 16  3 665.34  0.691
2 16  3 3412.28 0.861
1 17  3 421.93  0.427
2 17  3 1254.51 0.572
1 18  3 656.95  0.506
2 18  3 279.92  0.488
1 19  3 688.62  0.645
2 19  3 1269.88 0.519
1 20  3 9293.94 0.899
2 20  3 3206.34 0.596
1 21  3 1286.08 0.544
2 21  3 1388.79 0.466
1 22  3 2612.81 0.882
2 22  3 5187.11 0.568
1 23  3 621.28  0.408
2 23  3 15890.87  0.357
1 24  3 3843.35 0.926
2 24  3 35285.27  0.54
1 25  3 41.77 0.649
2 25  3 952.38  0.576
1 26  3 5777.52 0.696
2 26  3 201.04  0.55
1 27  3 692.18  0.709
2 27  3 25.68 0.496
1 28  3 12.88 0.49
1 29  3 3.07  0.704
2 29  3 47.16 0.875
1 30  3 395.36  0.632
2 30  3 9583.65 0.908
1 31  3 219.16  0.627
2 31  3 142.95  0.712
3 32  3 1468.39 0.662
4 32  3 2989.95 0.86
3 33  3 72.61 0.783
4 33  3 2219.73 0.598
3 34  3 314.81  0.543
4 34  3 1360.93 0.743
3 35  3 1437.24 0.871
4 35  3 12465.06  0.446
3 36  3 35.33 0.492
4 36  3 4579.26 0.49
3 37  3 4342.21 0.91
4 37  3 1576.38 0.434
3 38  3 5800  0.645
4 38  3 16619.54  0.485
3 39  3 8680.14 0.515
4 39  3 8752.94 0.389
3 40  3 9588.83 0.443
4 40  3 25704.09  0.395
3 41  3 621.46  0.886
4 41  3 2861.9  0.538
3 42  3 19155.47  0.983
4 42  3 9683.33 0.85
1 1 4 2622.13 0.239
2 1 4 121.67  0.731
1 2 4 4797.24 0.18
2 2 4 439.65  0.333
1 3 4 2551.72 0.286
2 3 4 44.81 0.52
1 4 4 2060.99 0.363
2 4 4 978.69  0.305
1 5 4 1010.33 0.504
2 5 4 856.26  0.472
1 6 4 1464.02 0.296
2 6 4 675.9 0.545
1 7 4 588.04  0.489
2 7 4 410.48  0.478
1 8 4 1512.48 0.37
2 8 4 109.13  1
1 9 4 786.31  0.528
2 9 4 790.6 0.533
1 10  4 310.64  0.512
2 10  4 480.6 0.484
1 11  4 828.65  0.565
2 11  4 263.55  0.586
1 12  4 888.91  0.403
2 12  4 47.04 1
1 13  4 1011.36 0.434
2 13  4 1081.81 0.578
1 14  4 202.93  0.645
2 14  4 32.58 1
1 15  4 672.75  0.573
2 15  4 4.7 1
1 16  4 80.65 0.625
2 16  4 125.73  0.619
1 17  4 1036.38 0.397
2 17  4 416.68  0.6
1 18  4 312.42  0.66
2 18  4 202.54  0.574
1 19  4 425.77  0.421
2 19  4 320.88  0.562
1 20  4 438.55  0.511
2 20  4 221.58  0.755
1 21  4 1127.73 0.341
2 21  4 29.96 0.64
1 22  4 492.18  0.558
2 22  4 269.63  0.652
1 23  4 1005.78 0.358
2 23  4 376.62  0.817
1 24  4 739.1 0.351
2 24  4 115.66  0.458
1 25  4 2188.04 0.317
2 25  4 576.4 0.659
1 26  4 1102.3  0.373
2 26  4 596.99  0.566
1 27  4 846.01  0.34
2 27  4 138.16  0.702
1 28  4 1239.86 0.357
2 28  4 464.97  0.477
1 29  4 1351.95 0.528
2 29  4 533.26  0.562
1 30  4 778.68  0.415
2 30  4 463.26  0.558
1 31  4 690.8 0.494
2 31  4 18.79 0.865
3 32  4 172.14  0.341
4 32  4 260.76  0.526
3 33  4 278.61  0.261
4 33  4 71.27 0.518
3 34  4 366.17  0.219
4 34  4 283.12  0.446
3 35  4 423.05  0.271
4 35  4 119.7 0.37
3 36  4 282.12  0.322
4 36  4 418.43  0.389
3 37  4 233.76  0.241
4 37  4 231.06  0.36
3 38  4 328.55  0.311
4 38  4 217.96  0.438
3 39  4 405.02  0.289
4 39  4 430.6 0.247
3 40  4 2308.48 0.364
4 40  4 533.87  0.288
3 41  4 748.34  0.244
4 41  4 1228.2  0.386
3 42  4 959.41  0.263
4 42  4 307.32  0.353
# end survey index observations 
#  
# Survey size comp data 
# Number of observations, init_int Nsurvey_size_obs 
  833
# init_matrix obs_survey_size(1,Nsurvey_size_obs,1,ncol) 
# Survey  Year  Species Type (0=whole, 1=retained, 2=discard) InpN, proportion by length bin 
1 1 1 0 57  0.213169221 0.161170628 0.455874256 0.147407348 0.022378547
1 2 1 0 65  0.185270362 0.311311643 0.234709027 0.242074245 0.026634723
1 3 1 0 32  0.292239167 0.261431563 0.294515755 0.135314674 0.01649884
1 4 1 0 32  0.357554701 0.276752787 0.252849101 0.079726991 0.03311642
1 5 1 0 21  0.325192793 0.404386077 0.207609822 0.044214201 0.018597108
1 6 1 0 18  0.412362983 0.307578297 0.188113035 0.091945685 0
1 7 1 0 25  0.448806408 0.155000799 0.311387931 0.078762934 0.006041929
1 8 1 0 20  0.477080455 0.22327704  0.23061431  0.049439801 0.019588394
1 9 1 0 16  0.488383952 0.422499201 0.05897961  0.015099402 0.015037835
1 10  1 0 19  0.206885668 0.422537619 0.300950191 0.051961196 0.017665327
1 11  1 0 20  0.386266109 0.278021443 0.250920253 0.053924284 0.03086791
1 12  1 0 22  0.351618127 0.443339135 0.173804837 0.026544029 0.004693872
1 13  1 0 23  0.101710594 0.26889874  0.366697384 0.223407754 0.039285529
1 14  1 0 14  0.375785425 0.269509751 0.321087117 0.033617706 0
1 15  1 0 21  0.17908117  0.516628086 0.230224377 0.074066367 0
1 16  1 0 14  0.585139355 0.27286491  0.10794947  0.034046265 0
1 17  1 0 17  0.191162599 0.410129935 0.294638803 0.094780145 0.009288518
1 18  1 0 19  0.201424136 0.407817749 0.360636968 0.030121147 0
1 19  1 0 18  0.216311315 0.267274956 0.461082126 0.055331603 0
1 20  1 0 15  0.150795332 0.362580605 0.409439809 0.077184255 0
1 21  1 0 21  0.107195142 0.613911289 0.236228865 0.042664704 0
1 22  1 0 13  0.183795124 0.367636094 0.317619808 0.130948974 0
1 23  1 0 14  0.412006661 0.46779101  0.095967773 0.024234557 0
1 24  1 0 14  0.084066667 0.421837898 0.450583079 0.043512355 0
1 25  1 0 18  0.13543681  0.227437591 0.52629458  0.109217354 0.001613665
1 26  1 0 14  0.337890116 0.296830135 0.305793463 0.059486287 0
1 27  1 0 23  0.57496761  0.076986476 0.229946722 0.108744561 0.00935463
