full time series of predicted survey index
survey year spp area pred_survey
2 29 1 1 4419.1
2 29 2 1 1862.87
2 29 3 1 2017.31
2 29 4 1 118.335
2 29 5 1 50713.8
2 29 6 1 1908.93
2 29 7 1 11772.8
2 29 8 1 1774.94
2 29 9 1 22210.1
2 29 10 1 925.681
2 30 1 1 4194.34
2 30 2 1 1769.19
2 30 3 1 1875.31
2 30 4 1 121.585
2 30 5 1 58393.4
2 30 6 1 1923.54
2 30 7 1 11266.6
2 30 8 1 1825.69
2 30 9 1 21685
2 30 10 1 1060.63
2 31 1 1 3364.21
2 31 2 1 1661.85
2 31 3 1 1722.15
2 31 4 1 130.834
2 31 5 1 64671.2
2 31 6 1 1876.23
2 31 7 1 10779.8
2 31 8 1 1799.68
2 31 9 1 21276.5
2 31 10 1 1060.45
2 32 1 1 2672.15
2 32 2 1 1583.7
2 32 3 1 1569.98
2 32 4 1 144.417
2 32 5 1 69277.8
2 32 6 1 2223.14
2 32 7 1 10339.3
2 32 8 1 1746.46
2 32 9 1 19413.7
2 32 10 1 874.235
2 33 1 1 2418.72
2 33 2 1 1562.48
2 33 3 1 1547.81
2 33 4 1 161.616
2 33 5 1 74696
2 33 6 1 2614.35
2 33 7 1 9961.84
2 33 8 1 1705.23
2 33 9 1 18265.1
2 33 10 1 821.192
2 34 1 1 2015.43
2 34 2 1 1615.17
2 34 3 1 1593.08
2 34 4 1 176.708
2 34 5 1 82361.3
2 34 6 1 3129.28
2 34 7 1 9647.13
2 34 8 1 1615.55
2 34 9 1 17898.8
2 34 10 1 718.845
2 35 1 1 2095.59
2 35 2 1 1644.57
2 35 3 1 1653.43
2 35 4 1 185.956
2 35 5 1 90380.8
2 35 6 1 3731.33
2 35 7 1 9369.92
2 35 8 1 1526.09
2 35 9 1 18355.9
2 35 10 1 688.37
2 36 1 1 2862.66
2 36 2 1 1608.49
2 36 3 1 1704.23
2 36 4 1 242.751
2 36 5 1 108458
2 36 6 1 4158.41
2 36 7 1 9137.62
2 36 8 1 1446.89
2 36 9 1 19707.9
2 36 10 1 738.1
2 37 1 1 3924.82
2 37 2 1 1529.91
2 37 3 1 2215.4
2 37 4 1 301.202
2 37 5 1 134796
2 37 6 1 4476.91
2 37 7 1 8932.37
2 37 8 1 1399.55
2 37 9 1 20180.9
2 37 10 1 786.82
2 38 1 1 5330.65
2 38 2 1 1410.93
2 38 3 1 2899.33
2 38 4 1 366.541
2 38 5 1 157183
2 38 6 1 4555.47
2 38 7 1 8740.32
2 38 8 1 1349.33
2 38 9 1 20144.3
2 38 10 1 843.764
2 39 1 1 6827.86
2 39 2 1 1244.33
2 39 3 1 3492.37
2 39 4 1 432.92
2 39 5 1 182438
2 39 6 1 4555.26
2 39 7 1 8535.78
2 39 8 1 1306.43
2 39 9 1 20109.1
2 39 10 1 896.072
2 40 1 1 8347.13
2 40 2 1 1085.58
2 40 3 1 3920.22
2 40 4 1 496.547
2 40 5 1 205983
